LJ0001|La bãsa fãa eb yẽgra ya boẽ, ya sikra sẽn na n yik ninsaal yĩngẽwa, n yɩɩd yĩnga sẽn n datã. Tõe ye yaasa be me n wilg bilfu, tɩ ninsaal waa rɩ.
LJ8058|La wotoonẽ... B sokame n na n gese, yaa ãnda soab n na n yɩ sĩnem maand gãnda sãeeng n na n tebge.
LJ8059|B wilgame tɩ Burkĩna Faso ne Nizɛɛr zoodã kɩtame tɩ Nizɛɛr tẽng naab a Bazum...
LJ8060|Zẽk b naoor n wa tĩms Waogdg kaanẽ na n maan zood kaagre la tʋʋm kaagre.
LJ8061|Yeelame tɩ pɩʋʋg toosa, Burkna Faso kaanẽ, tãrenspotɛɛr dãmba yikame n yet tɩ pa sak ye ne mobillis kẽer ye.
LJ8062|Sẽn yi Kodivaare n dat n pɩʋʋg toaagã n kẽ Bobo dulaso, tɩ b yiki n yet tɩ pa sak ye. Sebrã neng a yiib zĩigẽ kibay-kãngã n be beenẽ.
LJ8063|Lobsɛrvatɛɛr paalgã sebrã neng-wamda zugu bãmb talla tõnd n kẽng yʋʋm-pis-tã la a naas la wotoonẽ b sẽn kʋ a Capitaine Thomas Sankara.
LJ8064|B yeelame tɩ tẽnga naabã, a Rok, kẽng n tɩ rɩka waoore n na n taas a Sãnkara.
LJ8065|delete
LJ8066|B yeelame tɩ fɛspako deemilvẽtehẽ wã, baa ne kovɩɩdã ne yõ-kolg kaalma
LJ8067|Watzãpã zabre n be sʋka. Sebrã neng a nin zĩigẽ kibay-kãngã n be beenẽ.
LJ8068|Rũndã yibeooga evazẽo wã sẽn yi sibd ning sẽn loaaga wã neng-wamda zugu. Rũndã yibeoogã b goma ne tõnd n wilgi tɩ b talla sõasg ne a Amitimeriya sẽn yaa reem-dɛɛm-poaka.
LJ8069|A yeelame tɩ mam sũur sãama wʋsgo ne bũmb ning sẽn be mam tẽngẽ wã rũndã-rũndã wã.
LJ8070|M baooda m yella tɩɩmã, yão soab wilgame tɩ mam pagã, a mamsame n na n pozõn maam. Sebrã nengã a nu zĩigẽ, kibay-kãngã n be beenẽ. Yeelame tɩ mobili bɛdã sẽn boond tɩ poaluur sẽn kẽnd tẽnga pʋgẽ kãanẽ wã b yeelame tɩ rẽndame tɩ lagem taab n yalse sãang wotoonẽ.
LJ8071|Vʋɩɩmã kõbgã zĩigẽ b sokame n na n gese, yãmb na n maan wãn-wãn to-to tɩ yãmb biigã sã n yãk yam n bas kaorengã n na n maan mizikã.
LJ8072|Sebrã neng a yiib zĩigẽ sokrã la wotoonẽ: "Sɩɩg pʋgẽ yel-soalmã zĩigẽ b yeelame, ad sor ninga foo n na n tũ n tõog n paam n pidsi tɩ fo zãmsdã tõog n paam pidsgu." Sebrã neng a tãab zĩigẽ kibay-kãngã n be beenẽ.
LJ8073|Sã n pa mikame tɩ ya maan-n-yɩleng soaba, rat n yet n beeg beeg-kãng n yɩlemdẽ wã. Dẽnd Alaagi Zɩda Abubakaar Sɩdnaab ratame n vẽneg tõnd zĩ-kãngã n wilgi...
LJ8074|Yẽnda soaba na wa mikam tɩ fo yɩlẽ n paam sugr kũun na wa yɩ toogo.
LJ8075|Bala fo n maan beegr n tudg pipi wã fãa mikame tɩ fo n tudga fo pa le maan n yɩlme...
LJ8076|delete
LJ8077|Dẽnde, yel-bũndã la woto. La tõnd sã n kẽng tagsgã, a Alaagi Zɩda Abubakaar Sɩdnaab yeelame tɩ tõnd zu-beeda fãa-fãa n tog n be zĩig ningẽ wã, yaa tɩ tõnd n zãgsdame n pa na n da tɩɩm ninga...
LJ8078|T'a Alaagi Zɩda Abubakaar Sɩdnaaba sã na n gese b yeelam tɩ ogdonaasã, mim fãa kẽng logtor yiri.
LJ8079|Baa n tʋg n ta n togs b baagã, logtorã na n kelg foo n sa...
LJ8080|delete
LJ8081|B yeelam tɩ wẽnnaam sẽn kot ogdonaas ninga tɩ tõnd deeg n tʋg n da tɩɩmã...
LJ8082|Tẽngã zũndgri, tõnd bee vʋɩɩma gɩdgre, a tõe n gɩdga yel-bãmbã fãa.
LJ8083|Ninsaal sã n maag a menga, fo sã yãg tɩ manege, fo n maag f menga n yɩɩda.
LJ8084|La tõnd yaool n dɩk noore. Sã n pa rẽ yãg-yãg sã n kẽ be?
LJ8085|D sã n leb n yɩ neb sẽn kõt sugr tao-tao, n kõt sugr sõamã?
LJ8086|Tɩ sã n mikame tɩ maag-m-meng bee beenẽ. Tɩ sã n mikame tɩ sugr kũun bee beenẽ. Tɩ sã n mik tɩ yãmb soga taab nus sõmbo ?
LJ8087|Dẽnd ya rẽ t'a Alaagi Zɩda Abubakaar Sɩdnaab yetẽ: Tõnd zu-beedã fãa-fãa wã.
LJ8088|Wẽnnaam n kõt tõnd tɩ d te ra tɩɩm ninga wã, tõn n zãgs tɩ-kãng raabã yaa rẽ la tõnd zu-beedã. Sã n pa rẽ?
LJ8089|Tɩt wala maag-m-menga, sugr kũuni, yõk-m-nugã, yão wã yaa tɩto sẽn tõe n beel zɩɩm-daagr tẽms pʋga.
LJ8090|Tõnd vʋɩɩma n tõe n gɩdg n pa tẽng kẽng taoorã, a tõe n beela rẽ fãa tɩ vʋɩɩmã kẽng taoore. N-yee, yaa yel-bũndã ne tagsgã la wotoonẽ. Alaagi Zɩda Abubakaar Sɩdnaab n kõ tõnd wotoonẽ,
LJ8091|Rẽnde, Mermooz Sãafo n lebg waa roogẽ. Yaa woto. D sẽn lebg n wa wilgdame tɩ fɛspako wa sẽn sɩngd wotoonẽ wã.
LJ8092|Bãmb me na n kell yɛga fɛspako wã. Yɛg fɛspako wã yaa tɩ.
LJ8093|Dẽnd zaabr wakat a nu tɛk sã n ta tɩ yãmb kẽng n na n tɩ tãa yʋng wakat a wɛ sẽne.
LJ8094|Yãmb na n mikame tɩ b yãkda filim-dãmb nins savan mediya sẽn yiisd-b rãmba.
LJ8095|Wala yaa wotoonẽ. Dẽnd rũndã wã porgarmã la wotoonẽ.
LJ8096|B yeelam tɩ zaabrã wakat a yopoe sã n wa loog pis-tã wã
LJ8097|Paas ne filim ninga b sẽn boond tɩ fam ẽntɛɛgre. Yaa filim bãmba la savan mediya yãk rũndã.
LJ8098|La d na n wilgam tɩ da togs yãmb wotoonẽ, tɩ savan mediya na n yɛgla fɛspako wã.
LJ8099|ɛspas dɛ nuvɛl zide, koɛɛg-koɛɛg b sẽn boond tɩ eni zakã sẽn be tẽn-gãndg saka pʋgã. Ad fɛspako wã sẽn sĩnmã wã tigrã, a na n kʋd n dãmba beenẽ me. Tɩ sẽn na n sɩng ne dɩmaasã, oktaobrã kiuuga rasem piig la a yopoe, n tɩ tak.
LJ8100|Rat n yet tɩ tõnd me na n naaga tigrã pʋga. Yaa Burkĩna Faso, leb n yaa Afrik.
